candle_end_time,open,high,low,close,amount,info
2022-03-08,43.300,43.510,41.940,42.220,834665.000,
2022-03-09,42.340,42.470,39.750,41.130,900431.000,
2022-03-10,42.340,42.440,41.370,41.440,671496.000,
2022-03-11,41.240,41.530,39.840,41.190,740525.000,
2022-03-14,40.240,40.720,38.840,38.890,1080466.000,
2022-03-15,38.350,38.350,35.920,36.190,1313092.000,
2022-03-16,36.800,39.540,36.650,39.320,1377449.000,
2022-03-17,40.890,41.910,40.410,41.250,1319648.000,
2022-03-18,41.340,42.910,40.760,42.910,923585.000,
2022-03-21,42.630,42.630,41.340,41.550,791032.000,
2022-03-22,41.780,42.600,41.560,42.270,549038.000,
2022-03-23,42.430,42.710,42.040,42.500,469960.000,
2022-03-24,42.340,42.830,42.100,42.510,380332.000,
2022-03-25,42.450,42.690,41.740,41.920,318259.000,
2022-03-28,41.580,42.240,40.990,41.790,386459.000,
2022-03-29,41.890,42.290,41.650,41.750,349621.000,
2022-03-30,42.100,43.040,42.090,42.970,520723.000,
2022-03-31,42.730,43.860,42.560,43.540,615885.000,
2022-04-01,43.230,44.210,43.020,43.840,476139.000,
2022-04-06,43.140,44.470,43.120,44.130,478269.000,
2022-04-07,44.090,44.330,43.320,43.600,377201.000,
2022-04-08,43.440,43.920,43.340,43.920,364235.000,
2022-04-11,43.450,43.610,42.330,42.640,492612.000,
2022-04-12,42.940,43.200,41.850,42.440,588840.000,
2022-04-13,42.440,42.840,42.050,42.490,448223.000,
2022-04-14,42.750,43.170,42.490,42.500,326613.000,
2022-04-15,42.440,43.740,42.230,43.570,423159.000,
2022-04-18,42.700,42.700,39.520,40.130,2366775.000,
2022-04-19,38.740,39.490,38.140,38.840,2504770.000,
2022-04-20,38.540,38.720,37.640,37.840,1318269.000,
2022-04-21,37.440,38.840,37.340,38.020,1143501.000,
2022-04-22,37.400,39.710,37.390,39.240,1195340.000,
2022-04-25,37.120,37.690,35.460,35.570,2368745.000,
2022-04-26,35.600,35.900,34.340,35.150,1454719.000,
2022-04-27,34.570,35.370,34.350,34.780,1546208.000,
2022-04-28,34.800,36.820,34.690,36.360,1564523.000,
2022-04-29,35.840,36.950,35.460,36.670,1236929.000,
2022-05-05,36.400,36.920,35.760,36.000,944251.000,
2022-05-06,35.440,35.490,34.640,34.650,889455.000,
2022-05-09,34.540,34.560,32.890,33.210,1252406.000,
2022-05-10,32.720,33.900,32.000,33.720,1217637.000,
2022-05-11,33.570,34.300,33.340,33.950,872399.000,
2022-05-12,33.540,33.800,33.170,33.350,630023.000,
2022-05-13,33.720,34.340,33.640,33.890,701301.000,
2022-05-16,33.870,33.870,33.180,33.630,644742.000,
2022-05-17,34.100,35.370,34.100,35.340,1183954.000,
2022-05-18,35.740,35.820,34.640,35.240,887755.000,
2022-05-19,34.630,34.990,34.260,34.770,542011.000,
2022-05-20,35.490,36.920,35.490,36.700,1338872.000,
2022-05-23,36.710,36.790,36.190,36.230,618088.000,
2022-05-24,36.340,36.570,35.580,35.640,687430.000,
2022-05-25,35.720,35.840,35.380,35.520,489025.000,
2022-05-26,35.740,35.740,34.820,35.170,615430.000,
2022-05-27,35.640,36.150,35.470,35.860,608396.000,
2022-05-30,36.240,36.240,35.530,35.810,471537.000,
2022-05-31,35.790,36.490,35.540,36.430,645404.000,
2022-06-01,36.440,36.440,36.010,36.430,433834.000,
2022-06-02,36.040,36.170,35.480,35.660,547281.000,
2022-06-06,35.590,35.770,34.840,35.710,698703.000,
2022-06-07,35.700,36.240,35.410,36.090,622726.000,
2022-06-08,36.100,36.340,35.760,36.270,596931.000,
2022-06-09,36.240,37.340,36.150,37.030,908607.000,
2022-06-10,36.650,36.900,36.240,36.860,795394.000,
2022-06-13,36.300,36.300,35.080,35.310,971312.000,
2022-06-14,34.940,36.040,34.850,35.980,598362.000,
2022-06-15,35.930,37.840,35.930,37.220,1394895.000,
2022-06-16,37.620,37.720,36.700,36.700,636883.000,
2022-06-17,36.580,36.910,36.010,36.590,550731.000,
2022-06-20,36.630,36.840,36.140,36.440,614206.000,
2022-06-21,36.480,37.390,36.190,37.070,583914.000,
2022-06-22,37.140,37.210,36.040,36.050,730712.000,
2022-06-23,36.060,36.950,36.060,36.880,616030.000,
2022-06-24,37.010,37.330,36.400,36.940,639950.000,
2022-06-27,37.070,38.100,36.890,37.990,893408.000,
2022-06-28,37.840,38.160,37.640,38.020,499164.000,
2022-06-29,38.010,38.450,37.730,37.750,622804.000,
2022-06-30,37.780,39.440,37.700,38.940,832628.000,
2022-07-01,39.120,39.120,37.950,38.120,695748.000,
2022-07-04,38.020,38.110,37.540,37.790,486918.000,
2022-07-05,38.200,38.410,37.500,37.720,534538.000,
2022-07-06,37.700,37.830,36.340,36.540,885266.000,
2022-07-07,36.540,36.910,36.290,36.490,508129.000,
2022-07-08,36.940,36.960,36.370,36.550,480361.000,
2022-07-11,36.320,36.430,35.940,36.180,403755.000,
2022-07-12,36.100,36.540,35.770,36.040,580630.000,
2022-07-13,35.810,35.990,34.430,34.640,1410831.000,
2022-07-14,33.910,33.930,32.240,33.220,2325234.000,
2022-07-15,33.362,34.222,33.122,33.132,1382452.000,"{'nd': '2021', 'fh_sh': '15.22', 'djr': '2022-07-14', 'cqr': '2022-07-15', 'FHcontent': '10派15.22元'}"
2022-07-18,33.412,34.102,33.272,33.892,903080.000,
2022-07-19,33.762,34.112,33.462,33.972,537814.000,
2022-07-20,34.202,34.382,33.972,34.112,469689.000,
2022-07-21,33.802,34.092,33.632,33.722,466241.000,
2022-07-22,33.812,34.312,33.512,33.852,510333.000,
2022-07-25,33.642,34.242,33.482,34.112,404649.000,
2022-07-26,34.112,34.612,34.052,34.592,456285.000,
2022-07-27,34.492,34.612,34.172,34.312,442471.000,
2022-07-28,34.362,34.612,34.012,34.042,570668.000,
2022-07-29,34.092,34.442,33.272,33.332,649706.000,
2022-08-01,33.252,33.272,32.712,32.782,705883.000,
2022-08-02,32.462,32.472,31.592,32.172,811608.000,
2022-08-03,32.162,32.752,31.212,31.322,1003206.000,
2022-08-04,31.592,31.962,31.492,31.922,593073.000,
2022-08-05,32.072,32.602,31.882,32.562,488719.000,
2022-08-08,32.452,32.752,31.882,32.172,572112.000,
2022-08-09,32.212,32.212,31.662,31.862,498671.000,
2022-08-10,31.822,31.962,31.292,31.412,529605.000,
2022-08-11,31.722,32.662,31.442,32.622,826688.000,
2022-08-12,32.422,32.702,32.292,32.632,402001.000,
2022-08-15,32.362,32.592,31.792,31.992,459181.000,
2022-08-16,32.122,32.632,32.012,32.172,479155.000,
2022-08-17,32.262,32.592,31.802,32.502,453955.000,
2022-08-18,32.392,32.432,31.702,31.982,507344.000,
2022-08-19,31.742,32.412,31.722,32.112,428450.000,
2022-08-22,31.802,32.382,31.762,31.882,525635.000,
2022-08-23,31.852,31.862,31.282,31.362,539657.000,
2022-08-24,31.402,31.702,31.062,31.102,589659.000,
2022-08-25,31.162,32.032,30.852,31.952,650739.000,
2022-08-26,31.962,32.302,31.592,31.962,549683.000,
2022-08-29,31.572,32.082,31.372,31.542,389014.000,
2022-08-30,31.372,32.132,31.342,32.052,590877.000,
2022-08-31,31.802,33.502,31.732,33.312,1665451.000,
2022-09-01,33.122,33.302,32.752,32.762,607421.000,
2022-09-02,32.862,33.162,32.382,32.582,476635.000,
2022-09-05,32.512,32.652,31.822,32.492,467372.000,
2022-09-06,32.582,33.012,31.762,31.882,877561.000,
2022-09-07,31.612,31.742,31.322,31.642,625220.000,
2022-09-08,31.632,31.792,31.512,31.562,416672.000,
2022-09-09,31.712,33.022,31.642,32.762,1351666.000,
2022-09-13,32.712,33.912,32.552,33.612,1438611.000,
2022-09-14,33.162,33.562,32.972,33.122,560786.000,
2022-09-15,33.412,34.322,33.412,34.272,1340950.000,
2022-09-16,33.952,34.262,33.182,33.212,865161.000,
2022-09-19,33.152,33.582,33.012,33.352,449981.000,
2022-09-20,33.362,33.452,32.612,32.802,504346.000,
2022-09-21,32.712,33.142,32.122,32.672,530389.000,
